DateTime,Followers,Players,Twitch Viewers,Final price,Positive reviews,Negative reviews
2022-12-14 00:00:00,698.0,,1372.0,,,
2022-12-15 00:00:00,1148.0,,1096.0,,,
2022-12-16 00:00:00,1403.0,,1045.0,,,
2022-12-17 00:00:00,1548.0,,79.0,,,
2022-12-18 00:00:00,1649.0,,827.0,,,
2022-12-19 00:00:00,1738.0,,1591.0,,,
2022-12-20 00:00:00,1828.0,,1489.0,,,
2022-12-21 00:00:00,1923.0,,1280.0,,,
2022-12-22 00:00:00,1997.0,,1801.0,,,
2022-12-23 00:00:00,2095.0,,794.0,,,
2022-12-24 00:00:00,2221.0,,31.0,,,
2022-12-25 00:00:00,2367.0,,1513.0,,,
2022-12-26 00:00:00,2523.0,,31.0,,,
2022-12-27 00:00:00,2683.0,,31.0,,,
2022-12-28 00:00:00,2760.0,,40.0,,,
2022-12-29 00:00:00,2807.0,,53.0,,,
2022-12-30 00:00:00,2843.0,,42.0,,,
2022-12-31 00:00:00,2880.0,,41.0,,,
2023-01-01 00:00:00,2919.0,,26.0,,,
2023-01-02 00:00:00,2958.0,,18.0,,,
2023-01-03 00:00:00,2989.0,,82.0,,,
2023-01-04 00:00:00,3018.0,,118.0,,,
2023-01-05 00:00:00,3050.0,,133.0,,,
2023-01-06 00:00:00,3082.0,,60.0,,,
2023-01-07 00:00:00,3105.0,,32.0,,,
2023-01-08 00:00:00,3133.0,,77.0,,,
2023-01-09 00:00:00,3158.0,,59.0,,,
2023-01-10 00:00:00,3175.0,,91.0,,,
2023-01-11 00:00:00,3207.0,,171.0,,,
2023-01-12 00:00:00,3228.0,,36.0,,,
2023-01-13 00:00:00,3254.0,,32.0,,,
2023-01-14 00:00:00,3293.0,,25.0,,,
2023-01-15 00:00:00,3322.0,,34.0,,,
2023-01-16 00:00:00,3350.0,,68.0,,,
2023-01-17 00:00:00,3365.0,,57.0,,,
2023-01-18 00:00:00,3365.0,,38.0,,,
2023-01-19 00:00:00,3407.0,,55.0,,,
2023-01-20 00:00:00,3446.0,,73.0,,,
2023-01-21 00:00:00,3540.0,,165.0,,,
2023-01-22 00:00:00,3645.0,,41.0,,,
2023-01-23 00:00:00,3713.0,,38.0,,,
2023-01-24 00:00:00,3827.0,,42.0,,,
2023-01-25 00:00:00,3956.0,,27.0,,,
2023-01-26 00:00:00,4084.0,597.0,84.0,,,
2023-01-27 00:00:00,5995.0,2391.0,54.0,,131.0,-96.0
2023-01-28 00:00:00,7511.0,4119.0,68.0,,141.0,-136.0
2023-01-29 00:00:00,8354.0,5048.0,110.0,,,
2023-01-30 00:00:00,8916.0,3971.0,176.0,,,
2023-01-31 00:00:00,9228.0,3537.0,142.0,,255.0,-196.0
2023-02-01 00:00:00,9425.0,2819.0,103.0,,57.0,-60.0
2023-02-02 00:00:00,9548.0,2345.0,106.0,,42.0,-46.0
2023-02-03 00:00:00,9646.0,2207.0,93.0,,53.0,-24.0
2023-02-04 00:00:00,9727.0,2540.0,110.0,,42.0,-35.0
2023-02-05 00:00:00,9804.0,2292.0,99.0,,31.0,-29.0
2023-02-06 00:00:00,9860.0,1453.0,131.0,,26.0,-16.0
2023-02-07 00:00:00,9897.0,1231.0,61.0,,19.0,-17.0
2023-02-08 00:00:00,9922.0,1034.0,53.0,,,
2023-02-09 00:00:00,9967.0,963.0,57.0,,18.0,-14.0
2023-02-10 00:00:00,9991.0,953.0,57.0,,20.0,-6.0
